stage,trial,perf_recall_test,fairness_ratio_test,thr_star,fpr_test,recall_val,fpr_val,fairness_ratio_val,aeq_fpr_parity_age_test,aeq_fpr_parity_income_test,aeq_fpr_parity_employment_status_test,aeq_fpr_parity_age_val,aeq_fpr_parity_income_val,aeq_fpr_parity_employment_status_val,attribute_n_distinct_groups,attribute_is_degenerate,aeq_attribute_n_distinct_groups_age_test,aeq_attribute_n_distinct_groups_income_test,aeq_attribute_n_distinct_groups_employment_status_test,aeq_attribute_n_distinct_groups_age_val,aeq_attribute_n_distinct_groups_income_val,aeq_attribute_n_distinct_groups_employment_status_val,aeq_attribute_is_degenerate_age_test,aeq_attribute_is_degenerate_income_test,aeq_attribute_is_degenerate_employment_status_test,aeq_attribute_is_degenerate_age_val,aeq_attribute_is_degenerate_income_val,aeq_attribute_is_degenerate_employment_status_val
ft_dense,0,0.3744343891402714,0.15811908587166448,0.047951459884643555,0.04244414693331102,0.7034606205250596,0.0494299619974665,0.16164111585598157,0.38425915396553606,0.2494541759958146,0.15811908587166448,0.3618649166956888,0.2587525355524128,0.16164111585598157,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,1,0.40535444947209637,0.09977921298120539,0.030671510845422745,0.046431260982344576,0.6986873508353222,0.04998999933328888,0.1129918294505237,0.3571636380012171,0.2416298708715558,0.09977921298120539,0.3126077049682319,0.24333404597864422,0.1129918294505237,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,2,0.33521870286576155,0.14877268798617113,0.03104795143008232,0.04118902183917664,0.6742243436754176,0.049449963330888726,0.19328539022100713,0.4203367519259518,0.2591606012994276,0.14877268798617113,0.4025803866538827,0.2766187159887061,0.19328539022100713,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,3,0.41251885369532415,0.061516822023135624,0.016947852447628975,0.04671993975399548,0.6992840095465394,0.04985665711047403,0.09349767635070229,0.37661757093481385,0.20617524124985648,0.061516822023135624,0.3358225102775087,0.21164123107591212,0.09349767635070229,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,4,0.42835595776772234,0.06010719264258596,0.020774800330400467,0.05197891389841854,0.7094272076372315,0.04996999799986666,0.04902741944796443,0.3811619369422524,0.2145040363168004,0.06010719264258596,0.3362593941605209,0.2222119779448172,0.04902741944796443,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,5,0.3699095022624433,0.15794757164669956,0.021707896143198013,0.044130198309764876,0.7004773269689738,0.049183278885259016,0.1855361097390639,0.3834975610593823,0.28668422972166757,0.15794757164669956,0.3412099509491587,0.2910579392339659,0.1855361097390639,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,6,0.37481146304675705,0.1381071474543463,0.07200300693511963,0.043305999497949964,0.7064439140811456,0.04986999133275552,0.16954284542691092,0.3993132624788185,0.25661518482806633,0.1381071474543463,0.3744823736259427,0.25106577236208205,0.16954284542691092,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,7,0.36915535444947195,0.1510779721018562,0.02806754782795906,0.04321395699104678,0.7028639618138425,0.04972998199879992,0.14621524996670623,0.3760116269873543,0.25189261974981203,0.1510779721018562,0.32947221409509003,0.2655616586483468,0.14621524996670623,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,8,0.4144042232277525,0.08804926704172024,0.02856183424592018,0.049514684963601376,0.7088305489260143,0.04996999799986666,0.09285794996928708,0.35419472188677736,0.26684233935937646,0.08804926704172024,0.31698117167924145,0.27376920527332177,0.09285794996928708,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,9,0.3996983408748113,0.11292663213196663,0.026888767257332802,0.047280562296042175,0.711217183770883,0.04967664510967398,0.10511195280360217,0.3757553637109912,0.2322070878812573,0.11292663213196663,0.33501103988125,0.24530909032825193,0.10511195280360217,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,10,0.3815987933634991,0.12689000132536377,0.028166193515062332,0.047912308593423145,0.7004773269689738,0.049769984665644376,0.07273112757082077,0.38573870167088753,0.2155483710172454,0.12689000132536377,0.3361142035458004,0.22902606368854067,0.07273112757082077,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,11,0.4079939668174961,0.10371541737936477,0.03484227508306503,0.0479666973475023,0.7052505966587113,0.04998999933328888,0.12154093318556321,0.3494052968428715,0.286470449493716,0.10371541737936477,0.31284076396267385,0.29228780847396607,0.12154093318556321,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,12,0.38914027149321256,0.1399543004999205,0.039879076182842255,0.04846456363484227,0.7100238663484487,0.04984998999933329,0.15040999773610947,0.40315931780445685,0.24658023980661642,0.1399543004999205,0.36301699898328293,0.2605346399306963,0.15040999773610947,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,13,0.40573152337858204,0.09031468736941078,0.02376716397702694,0.046205338465400383,0.7171837708830548,0.04984998999933329,0.09528242898789228,0.34530225770240025,0.192835237130478,0.09031468736941078,0.3109509845137337,0.21901047944776036,0.09528242898789228,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,14,0.40045248868778266,0.13875804931174288,0.031568098813295364,0.047025353526901514,0.714200477326969,0.04994332955530369,0.13656117006965593,0.45773657790563976,0.2610176939322164,0.13875804931174288,0.4063509748192724,0.2663933170991937,0.13656117006965593,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,15,0.38122171945701344,0.135960013712112,0.0174297746270895,0.04415530081164756,0.6963007159904535,0.04986999133275552,0.15908695050885646,0.3573269700051386,0.25085077932117783,0.135960013712112,0.3147603493166544,0.25456345266028657,0.15908695050885646,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,16,0.402337858220211,0.07436110832284026,0.041909877210855484,0.04595012969625973,0.711217183770883,0.049916661110740716,0.059540104579727006,0.36909005950520074,0.2817883729137244,0.07436110832284026,0.34232173342125904,0.2807550706203129,0.059540104579727006,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,17,0.401206636500754,0.12509538586762986,0.02798978053033352,0.04920508744038156,0.7040572792362768,0.049423294886325755,0.134821859344151,0.3361683749268463,0.23545689972208161,0.12509538586762986,0.28396976610305585,0.24585272086855683,0.134821859344151,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,18,0.4230769230769229,0.06682810837909985,0.022217541933059692,0.04725545979415949,0.7100238663484487,0.049956663777585175,0.060307676205463866,0.3357500335908724,0.1847838988844569,0.06682810837909985,0.29652004511438096,0.19976752419994104,0.060307676205463866,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,19,0.3902714932126696,0.12285171862509991,0.02612411230802536,0.04402560455192034,0.6921241050119332,0.04990999399959997,0.12269769618385472,0.3371167041933682,0.21374884677900008,0.12285171862509991,0.30352098131561434,0.22254421178027137,0.12269769618385472,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,20,0.3088235294117646,0.2233242126098853,0.02817360684275627,0.036222910216718265,0.6897374701670644,0.04948329888659244,0.28680856170193786,0.46944464386198403,0.28210462099212746,0.2233242126098853,0.42812001184047943,0.28680856170193786,0.3024123518522053,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,21,0.40460030165912503,0.07897509024806978,0.0185250211507082,0.04619278721445904,0.7189737470167065,0.049929995333022205,0.09788155631069807,0.3313267991780156,0.27539735901559775,0.07897509024806978,0.2809681596545434,0.29098439078960275,0.09788155631069807,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,22,0.3853695324283558,0.08739755045173764,0.04566764831542969,0.04395029704627228,0.7124105011933174,0.049329955330355356,0.08582002873692694,0.36171670274701767,0.2506287487334192,0.08739755045173764,0.32574793001820807,0.27211389871573505,0.08582002873692694,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,23,0.3574660633484162,0.20131975373329838,0.020128129050135612,0.044042339553175464,0.6927207637231504,0.04981665444362957,0.23089164682176222,0.4330499224116859,0.31563384625051394,0.20131975373329838,0.38821537974628906,0.31342997113612203,0.23089164682176222,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,24,0.403469079939668,0.116919859609714,0.06676915287971497,0.04810894485817086,0.7106205250596659,0.04993666244416294,0.12216572073761078,0.42474449095956646,0.27340873949629013,0.116919859609714,0.37227163831676413,0.2746372458788322,0.12216572073761078,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,25,0.38009049773755643,0.13246106458478232,0.0504985973238945,0.04676177725713329,0.6843675417661098,0.04994332955530369,0.12506170972124597,0.3486485709301507,0.20326400691428492,0.13246106458478232,0.3132222770894576,0.2099485326939762,0.12506170972124597,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,26,0.41138763197586714,0.07018703723988172,0.03342834487557411,0.048765793657434525,0.7177804295942721,0.0499766651110074,0.07915318081701145,0.35627772066393654,0.26028684770182364,0.07018703723988172,0.32139779901781834,0.2672065269232231,0.07915318081701145,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,27,0.39441930618401194,0.09658779383623838,0.022320400923490524,0.047744958580871896,0.7147971360381862,0.0499766651110074,0.11149972577049645,0.36596832438673466,0.2626719143902051,0.09658779383623838,0.32471202586443965,0.2663799146419971,0.11149972577049645,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,28,0.402337858220211,0.07225853847314326,0.026800181716680527,0.046037988452849135,0.7052505966587113,0.04986999133275552,0.10011183687727296,0.32179805408465567,0.21638084682136827,0.07225853847314326,0.29263561167723967,0.2316801017892112,0.10011183687727296,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,29,0.3914027149321266,0.11958422958222555,0.025302426889538765,0.04505899087942432,0.7004773269689738,0.04999666644442963,0.12933903635358113,0.33673318773626626,0.24399814083073326,0.11958422958222555,0.29849145708363345,0.23809115781693332,0.12933903635358113,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,30,0.3921568627450979,0.10946841709292128,0.03665350005030632,0.046924943519370765,0.7106205250596659,0.049783318887925865,0.11747153061407863,0.3530996875830355,0.2735105504690207,0.10946841709292128,0.31665269169761634,0.2762818563744576,0.11747153061407863,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,31,0.37028657616892896,0.233709631431024,0.026049545034766197,0.044799598359969876,0.6903341288782816,0.04990999399959997,0.2384348563725946,0.408352976112691,0.31081141355005576,0.233709631431024,0.3606711960344811,0.31790382523939165,0.2384348563725946,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,32,0.3657616892911009,0.17642943408338282,0.0604073628783226,0.04410927955819597,0.6915274463007159,0.04976331755450363,0.22368035909318237,0.44738099231276596,0.218553665930507,0.17642943408338282,0.40305037968903656,0.22368035909318237,0.23418091983252923,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,33,0.38725490196078416,0.15113193340504544,0.022554609924554825,0.047418626056396955,0.7118138424821002,0.04993666244416294,0.17423824716340633,0.3890552723475638,0.27765722261067716,0.15113193340504544,0.3492419432648019,0.291968658237358,0.17423824716340633,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,34,0.3563348416289592,0.08776785236767035,0.021618181839585304,0.03818508911388168,0.6891408114558473,0.049929995333022205,0.06254054731274429,0.40780568951973595,0.2662377443195591,0.08776785236767035,0.3680250128992787,0.2698159869143352,0.06254054731274429,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,35,0.33974358974358965,0.17326868671670995,0.01875864341855049,0.04495858087189356,0.6563245823389021,0.04969664644309621,0.19955173184559377,0.3954600245483746,0.19062316472884663,0.17326868671670995,0.3729315507451761,0.19955173184559377,0.2108584645381144,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,36,0.39932126696832565,0.09714054533154719,0.030224934220314026,0.047770061082754584,0.7183770883054893,0.04999666644442963,0.10242044348454478,0.35571511443751547,0.2676168527945803,0.09714054533154719,0.31934366711608486,0.2723445160451461,0.10242044348454478,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,37,0.3371040723981899,0.15991247688115393,0.018546534702181816,0.03810559785791984,0.6873508353221957,0.04993666244416294,0.18135257839922234,0.39097128476833737,0.22585360017532197,0.15991247688115393,0.3517083786104817,0.26218752863176636,0.18135257839922234,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
ft_dense,38,0.3088235294117646,0.22417665530100694,0.02345982752740383,0.03886704041502803,0.6599045346062052,0.049809987332488835,0.2281909308307974,0.4872258124477514,0.22417665530100694,0.2331808007409776,0.44052654549535925,0.2319448068852827,0.2281909308307974,"{""test"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}, ""val"": {""age_group"": 2, ""employment_status_group"": 7, ""income_group"": 4}}","{""test"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}, ""val"": {""age_group"": 0, ""employment_status_group"": 0, ""income_group"": 0}}",2,4,7,2,4,7,0,0,0,0,0,0
